Item Name,SKU,Description,Usage unit
HEAT PUMP 22 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
HEAT PUMP 47 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
HEAT PUMP 55 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
HEAT PUMP 82 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
HEAT PUMP 91 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
INLET NOZZLES MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
INSTALLATION OF EQUIPMENT @ 10%,,,JOB
INSTALLATION OF EQUIPMENT @ 12%,,,JOB
INSTALLATION OF EQUIPMENT @ 18%,,,JOB
INSTALLATION OF EQUIPMENT @ 4%,,,JOB
INSTALLATION OF EQUIPMENT @ 5%,,,JOB
INSULATION PIPE,,,MTR
IRIS CONTROLLER + REMOTE,,,NOS
JACUZZI 4 SEATER INSIDE THE POOL HAVING 5 NOZZEL IN EACH SEAT IN ABS MAKE: PENTAIR,,"MAKE: PENTAIR
",JOB
JACUZZI 5 SEATER INSIDE THE POOL HAVING 5 NOZZEL IN EACH SEAT IN ABS MAKE: PENTAIR,,"MAKE: PENTAIR
",JOB
JACUZZI 6 SEATER INSIDE THE POOL HAVING 5 NOZZEL IN EACH SEAT IN ABS MAKE: PENTAIR,,"MAKE: PENTAIR
",JOB
JET NOZZLES MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
JUCTION BOX,,,NOS
JUCTION BOX MAKE: WIBI,,MAKE: WIBI,NOS
LACE FOR RAIN CURTAIN NOZZLE  MAKE: OASE (GERMANY),,"MAKE: OASE (GERMANY)
",MTR
LEVEL INDICATOR & CONTROLLER,,,NOS
MA - DEEPNET MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - HOSE CUFF MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - HOSE PIPE (15MTR.) MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - LEAFT / FLATNET MAKE: PENTAIR,,"MAKE: OASE (GERMANY)
",NOS
"MA - STANDARD WALL BRUSH (18"") MAKE: PENTAIR",,"MAKE: PENTAIR
",NOS
MA - SUCTION HEAD (350 MM) MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - TELESCOPIC HANDLE 8-16 MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - TEST KIT MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - VACCUM POINTS MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MAINTENANCE AND REPAIR CHARGES CENTRAL @ 12%,,,OTH
MAINTENANCE AND REPAIR CHARGES CENTRAL @ 18%,,,OTH
MAINTENANCE AND REPAIR CHARGES LOCAL @ 12%,,,OTH
MAINTENANCE AND REPAIR CHARGES LOCAL @ 18%,,,OTH
MAINTENANCE AND REPAIR CHARGES LOCAL @ 18%,,,OTH
MALE THREAD ADAPTOR 110 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MALE THREAD ADAPTOR 160 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MALE THREAD ADAPTOR 20 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MALE THREAD ADAPTOR 200 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MALE THREAD ADAPTOR 25 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MALE THREAD ADAPTOR 32 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MALE THREAD ADAPTOR 50 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MALE THREAD ADAPTOR 63 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MALE THREAD ADAPTOR 75 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MALE THREAD ADAPTOR 90 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
MANUAL / INGROUND POOL COVER,,"MAKE: PENTAIR
",MTR
MICRON FILTER FOR RAIN NOZZLE MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MS POT STRAINER WITH SS BUCKET 100 MM  MAKE: AMBIKA / SANT,,MAKE: AMBIKA / SANT,NOS
MS POT STRAINER WITH SS BUCKET 80 MM  MAKE: AMBIKA / SANT,,MAKE: AMBIKA / SANT,NOS
MS POT STRAINER WITH SS BUCKET150 MM  MAKE: AMBIKA / SANT,,MAKE: AMBIKA / SANT,NOS
MS STRUCTURAL WORKS MAKE: TATA / RANA / CAPITAL,,MAKE: TATA / RANA /CAPITAL,KGS
"MULTIPORT VALVE 1.5"" MAKE: PENTAIR",,"MAKE: PENTAIR
",NOS
MYLAR LACE RAIN CURTAIN NOZZLE MAKE: OASE (GERMANY),,"MAKE: PENTAIR
",NOS
NON RETURN VALVE (NRV) 50 MM MAKE: HARIT / EQ.,,,NOS
"NON RETURN VALVE 110 MM  (NRV)  (3"") MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"NON RETURN VALVE 160 MM  (NRV)  (3"") MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"NON RETURN VALVE 63 MM (NRV) (2"") MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"NON RETURN VALVE 75 MM (NRV) (2.5"")MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"NON RETURN VALVE 90 MM  (NRV)  (3"") MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
ONLINE HEATER- 18KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
